Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
77,707,75,9.4569e+07,72,2,0,0,9130312,28251660,,877772,656008,3137384,1531344,2927804,,3362376,4600400,6351232,9043808,4893844
78,717,73,9.62774e+07,72,2,0,0,9130512,28210832,,877796,656168,3137412,1531344,2927792,,3324152,4600760,6351500,9038352,4896068
79,727,80,1.0746e+08,72,3,0,0,9130608,28189052,,877848,656188,3137432,1531352,2927788,,3352876,4579600,6316116,9039656,4900804
80,741,90,1.11608e+08,72,2,0,0,9130804,28163124,,877884,656248,3137420,1531368,2927884,,3340048,4594892,6348372,9025828,4853984
81,755,97,1.05341e+08,74,2,0,0,9130800,28249600,,877884,656276,3137416,1531420,2927804,,3355176,4598000,6355560,9040280,4900584
82,768,85,9.20722e+07,74,3,0,0,9130884,28224352,,877876,656296,3137484,1531420,2927808,,3340096,4601148,6345732,9036848,4900528
83,784,92,9.95141e+07,78,3,0,0,9131024,28145360,,877884,656244,3137600,1531420,2927876,,3347948,4582628,6284448,9037636,4892700
84,799,89,9.64366e+07,82,2,0,0,9131328,28114660,,877912,656320,3137600,1531504,2927992,,3364112,4576848,6318804,9028812,4826084
85,809,89,9.49174e+07,83,2,0,0,9131388,28163452,,877904,656324,3137656,1531496,2928008,,3370772,4592320,6315460,9030052,4854848
86,822,91,8.37386e+07,83,3,0,0,9131524,28140028,,877940,656388,3137664,1531500,2928032,,3345164,4588288,6321948,9031468,4853160
87,838,85,8.51648e+07,84,3,0,0,9131872,28095180,,878052,656576,3137692,1531512,2928040,,3366888,4549980,6296628,9022568,4859116
88,853,115,1.15857e+08,86,2,0,0,9132056,28086104,,878052,656576,3137680,1531576,2928172,,3326112,4573472,6307008,9021436,4858076
89,865,91,8.21891e+07,86,3,0,0,9132028,28101980,,878060,656588,3137696,1531580,2928104,,3345280,4575616,6303152,9019608,4858324
90,879,94,7.93719e+07,86,4,0,0,9132100,28054196,,878112,656580,3137696,1531600,2928112,,3333204,4571112,6308288,8991196,4850396
91,892,97,8.97275e+07,87,4,0,0,9132344,28029776,,878196,656608,3137788,1531652,2928100,,3334224,4542188,6305272,8992100,4855992
92,905,96,1.02309e+08,89,3,0,0,9132672,28018932,,878196,656612,3137980,1531724,2928160,,3318440,4569104,6299912,8998308,4833168
93,918,101,9.60595e+07,90,3,0,0,9132532,28008844,,878212,656612,3137860,1531732,2928116,,3321556,4553584,6293432,8985752,4854520
94,930,104,9.90104e+07,91,3,0,0,9132532,28005596,,878188,656672,3137836,1531724,2928112,,3325492,4567648,6263992,8993208,4855256
95,941,106,9.8173e+07,91,4,0,0,9132732,27977480,,878280,656672,3137844,1531732,2928204,,3318784,4564748,6274404,8985492,4834052
96,953,107,8.20922e+07,92,4,0,0,9133084,27923140,,878268,656692,3137944,1531980,2928200,,3321760,4560380,6249580,8958724,4832696
97,966,115,9.09118e+07,95,2,0,0,9133196,27925476,,878272,656784,3137996,1531860,2928284,,3319992,4542100,6257644,8976964,4828776
98,979,126,1.03217e+08,96,2,0,0,9133200,27893364,,878264,656812,3137980,1531876,2928268,,3320148,4532220,6261280,8944876,4834840
99,990,110,1.01538e+08,96,3,0,0,9133288,27882212,,878296,656876,3137972,1531880,2928264,,3290472,4540448,6262424,8955436,4833432
100,1003,111,9.21254e+07,97,3,0,0,9133552,27839996,,878316,656948,3138056,1531888,2928344,,3286524,4497488,6266512,8979036,4810436
101,1015,121,9.03153e+07,97,4,0,0,9133620,27881760,,878352,656940,3138048,1531924,2928356,,3303344,4542596,6262604,8979784,4793432
102,1026,110,1.00275e+08,99,3,0,0,9133800,27848424,,878360,656960,3138060,1531936,2928484,,3296132,4538788,6264032,8967996,4781476
103,1038,111,8.92943e+07,101,2,0,0,9133888,27823696,,878392,656940,3138096,1531936,2928524,,3278800,4534176,6246656,8968384,4795680
104,1051,118,9.34991e+07,101,3,0,0,9134116,27790008,,878520,656944,3138148,1531988,2928516,,3247272,4533480,6259596,8950548,4799112
105,1061,133,1.03175e+08,102,3,0,0,9134164,27764640,,878464,657020,3138156,1532016,2928508,,3217772,4527112,6257156,8959188,4803412
