Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
116,0,54,52,2,0,0,0,11640156,81340652,116930736,20960,45482812,,2894828,2835512,2962392,2947424,,20063976,20663168,20504376,20109132,,29235716,29333096,29174744,29187180,,5240,5240,5240,5240,,11569648,11113472,11204064,11595628
118,0,55,53,2,0,0,0,11816932,81212328,116802988,20960,45620156,,2926160,2922552,2973624,2994596,,20063280,20558096,20510968,20079984,,29235064,29228244,29181392,29158288,,5240,5240,5240,5240,,11600748,11158140,11219956,11641312
120,0,56,54,2,0,0,0,11998664,81054684,116645964,20960,45803164,,2958028,3021056,3010140,3009440,,20034412,20450424,20499972,20069876,,29206352,29120992,29170404,29148216,,5240,5240,5240,5240,,11621456,11263720,11256040,11661948
122,1,57,55,2,0,0,0,12314880,80699672,116291800,20960,46061452,,3109168,3034072,3136848,3034792,,19844364,20452836,20341256,20061216,,29016780,29123444,29011992,29139584,,5240,5240,5240,5240,,11749008,11282316,11342516,11687612
124,1,58,56,2,0,0,0,12562992,80464648,116057536,20960,46288244,,3123764,3065092,3187464,3186672,,19858668,20427576,20281896,19896508,,29031120,29098212,28952984,28975220,,5240,5240,5240,5240,,11769732,11313420,11399360,11805732
127,0,59,57,2,0,0,0,12699460,80311644,115905180,20960,46400208,,3139888,3138956,3203456,3217160,,19850424,20322556,20280380,19858284,,29022912,28993448,28951504,28937316,,5240,5240,5240,5240,,11785216,11353384,11420288,11841320
129,0,60,58,2,0,0,0,12906144,80112236,115706352,20960,46595568,,3188248,3246644,3234624,3236628,,19788236,20213888,20259540,19850572,,28960864,28885088,28930740,28929660,,5240,5240,5240,5240,,11822240,11461604,11451212,11860512
131,0,61,59,2,0,0,0,13218236,79710712,115305740,20960,46847060,,3328364,3257672,3363360,3268840,,19613136,20217668,20073724,19806184,,28786268,28888920,28745224,28885328,,5240,5240,5240,5240,,11939664,11477324,11537132,11892940
133,0,62,60,2,0,0,0,13467644,79497256,115093024,20960,47077132,,3353692,3288548,3422060,3403344,,19616148,20201380,20026668,19653060,,28789336,28872684,28698496,28732508,,5240,5240,5240,5240,,11970632,11508552,11604300,11993648
135,1,63,61,2,0,0,0,13616104,79320044,114916380,20960,47202512,,3372112,3360924,3436872,3446196,,19604204,20100340,20015396,19600104,,28777416,28771860,28687264,28679840,,5240,5240,5240,5240,,11989320,11547640,11625044,12040508
138,0,64,62,2,0,0,0,13816664,79142940,114739912,20960,47390708,,3416656,3470484,3468448,3461076,,19558784,19978852,20003444,19601860,,28732144,28650776,28675352,28681640,,5240,5240,5240,5240,,12022272,11656220,11656256,12055960
140,0,65,63,2,0,0,0,14092348,78796588,114394332,20960,47614816,,3557384,3554036,3488532,3492396,,19351460,19896112,19976300,19572716,,28525272,28568236,28648260,28652564,,5240,5240,5240,5240,,12139420,11711728,11676816,12086852
142,0,66,64,2,0,0,0,14390092,78481012,114079472,20960,47883312,,3582348,3648920,3519872,3638952,,19333376,19791584,19958696,19397356,,28507264,28464036,28630688,28477484,,5240,5240,5240,5240,,12170376,11804584,11707804,12200548
144,0,67,65,2,0,0,0,14587608,78276640,113875620,20960,48041712,,3602816,3664388,3638780,3681624,,19335920,19788772,19787280,19364668,,28509828,28461304,28459444,28445044,,5240,5240,5240,5240,,12191316,11825284,11783980,12241132
146,1,68,66,2,0,0,0,14741732,78145212,113744804,20960,48197352,,3641088,3695960,3697620,3707064,,19295932,19762944,19744864,19341472,,28469960,28435512,28417428,28421904,,5240,5240,5240,5240,,12217596,11856700,11851088,12271968
149,0,69,67,2,0,0,0,15050176,77820264,113420656,20960,48443632,,3790540,3716696,3815312,3727628,,19130208,19746828,19624544,19318684,,28304640,28419452,28297404,28399160,,5240,5240,5240,5240,,12344532,11877572,11928472,12293056
151,0,70,68,2,0,0,0,15246848,77610012,113211080,20960,48622248,,3806688,3811432,3875148,3753580,,19122956,19622296,19563172,19301588,,28297484,28295168,28236308,28382120,,5240,5240,5240,5240,,12366172,11937800,11999176,12319100
153,0,71,69,2,0,0,0,15525100,77332016,112933848,20960,48874016,,3842508,3904176,3878696,3899720,,19107152,19527380,19562572,19134912,,28281732,28200644,28235736,28215736,,5240,5240,5240,5240,,12402152,12031140,12009508,12431216
155,0,72,70,2,0,0,0,15636576,77268540,112870752,20960,48976704,,3870564,3924656,3916556,3924800,,19081136,19525284,19541360,19120760,,28255820,28198604,28214588,28201740,,5240,5240,5240,5240,,12418048,12056940,12046300,12455416
157,1,73,70,3,0,0,0,15843192,77040564,112643512,20960,49158132,,4027716,3939932,3928296,3947248,,18889860,19520628,19541896,19088180,,28065116,28193972,28215152,28169272,,5240,5240,5240,5240,,12545216,12072352,12057512,12483052
159,1,74,72,2,0,0,0,16119968,76675112,112278840,20960,49379448,,4166748,4030252,3949464,3973504,,18723596,19370836,19511644,19069036,,27899300,28044408,28184944,28150188,,5240,5240,5240,5240,,12662248,12130064,12078056,12509080
162,0,75,73,2,0,0,0,16405276,76380932,111985464,20960,49635328,,4182236,4123732,3980328,4118980,,18724188,19282172,19489376,18885196,,27899960,27956060,28162732,27966712,,5240,5240,5240,5240,,12683052,12221620,12109416,12621240
164,0,76,74,2,0,0,0,16606224,76159776,111765048,20960,49799332,,4208940,4144668,4096108,4156508,,18701980,19270408,19335804,18851584,,27877820,27944392,28009436,27933400,,5240,5240,5240,5240,,12709220,12247516,12185084,12657512
166,0,77,75,2,0,0,0,16873144,75912524,111518460,20960,50043824,,4245240,4165440,4162788,4299676,,18673448,19264852,19272924,18701300,,27849348,27938876,27946840,27783396,,5240,5240,5240,5240,,12745348,12268300,12257668,12772508
168,1,78,76,2,0,0,0,17069880,75721056,111327868,20960,50209080,,4260128,4195500,4275892,4338360,,18661680,19242744,19145948,18670684,,27837628,27916844,27820228,27753168,,5240,5240,5240,5240,,12760604,12299180,12333356,12815940
