Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
84,4,0,0,110342380,166568316,,17171980,18251940,17947024,18668896,17930492,20372048,,28387760,28206764,28600496,27166020,28706288,25500988
85,6,0,0,110378596,166480564,,17165656,18260912,17946268,18661276,17936036,20408448,,28388676,28213128,28579480,27186696,28697384,25415200
86,3,0,0,110332100,166500492,,17184152,18252508,17945216,18662988,17930592,20356644,,28341724,28215988,28564404,27176848,28714900,25486628
87,131,0,0,110282888,166571980,,17059768,18247680,17948360,18677384,17935916,20413780,,28456976,28203964,28580964,27174964,28710872,25444240
88,143,0,0,110254164,166565924,,17076416,18251440,17951864,18678964,17938096,20357384,,28392252,28200884,28574884,27179984,28720192,25497728
89,4,0,0,110437756,166414900,,17193796,18251936,17963140,18666928,17951832,20410124,,28294440,28201296,28564740,27165916,28699112,25489396
90,227,0,0,110238112,166582284,,17073832,18250680,17952340,18664116,17938172,20358972,,28427208,28193232,28563528,27174200,28701756,25522360
91,34,0,0,110424100,166397212,,17158004,18253680,17954816,18669616,17947008,20440976,,28323912,28202708,28553980,27166140,28696024,25454448
92,5,0,0,110418756,166424824,,17228256,18253976,17952184,18672200,17946128,20366012,,28235788,28184908,28567268,27180136,28699604,25557120
93,4,0,0,110375672,166546380,,17251992,18256792,17959176,18673488,17949264,20284960,,28233404,28205336,28556448,27165524,28703756,25681912
94,223,0,0,110247796,166471724,,17057852,18256960,17958116,18673640,17944332,20356896,,28368596,28191932,28562736,27161604,28693328,25493528
95,41,0,0,110329196,166368916,,17059144,18259808,17962344,18679176,17947896,20420828,,28355048,28191396,28546552,27145868,28694052,25436000
96,4,0,0,110402852,166375704,,17130660,18255696,17960664,18680432,17948156,20427244,,28335368,28209788,28569172,27154108,28688420,25418848
97,3,0,0,110419180,166331144,,17114416,18255976,17957532,18695440,17948368,20447448,,28337276,28196712,28565276,27144764,28686612,25400504
98,186,0,0,110321708,166372608,,17066720,18270996,17960284,18684952,17951976,20386780,,28337040,28192032,28557656,27143660,28685732,25456488
99,184,0,0,110434168,166252240,,17112088,18260052,17961328,18683876,17954704,20462120,,28267644,28177596,28556388,27156760,28694396,25399456
100,4,0,0,110573608,166135656,,17263280,18279876,17960416,18682608,17949788,20437640,,28186860,28176568,28544468,27142600,28692416,25392744
101,214,0,0,110457756,166300092,,17134580,18264436,17982064,18685460,17941912,20449304,,28318660,28203672,28563484,27142948,28682884,25388444
102,244,0,0,110381588,166287180,,17094364,18259772,17971392,18689192,17958144,20408724,,28327668,28202704,28544800,27141228,28675896,25394884
103,5,0,0,110452124,166172248,,17178444,18266488,17961688,18688464,17957080,20399960,,28207800,28169436,28556088,27130012,28677476,25431436
104,4,0,0,110310992,166338628,,17153372,18266080,17962696,18688464,17952056,20288324,,28266228,28183668,28545128,27142760,28685836,25515008
105,224,0,0,110392444,166174620,,17082560,18268928,17979108,18703656,17960752,20397440,,28272160,28177852,28545844,27114608,28666304,25397852
106,200,0,0,110438468,166096220,,17083140,18268712,17971968,18695156,17947040,20472452,,28287816,28172660,28531260,27112184,28674764,25317536
107,3,0,0,110587716,165988064,,17272380,18265968,17965040,18682376,17952420,20449532,,28153476,28167496,28539276,27111400,28675260,25341156
108,4,0,0,110659524,165991948,,17321340,18269572,17962932,18691480,17961356,20452844,,28099088,28180172,28555840,27145496,28683064,25328288
