Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
177,0,37,0,0,93667856,7535560,,25531664,19573944,24129688,24432560,,3453128,1921928,260592,1899912
178,1,39,0,0,91508852,6860552,,26752220,20408520,18343020,26005092,,2248772,1087048,3207724,317008
179,0,39,0,0,92227020,3824176,,28318508,21216348,18948792,23743372,,681872,304536,2600916,236852
180,0,38,0,0,84407772,17146060,,24416276,20198360,19761676,20031460,,4010328,4044864,1786952,7303916
181,2,37,0,0,88458128,11759024,,25827892,21554768,21128508,19946960,,2633508,2714656,444928,5965932
182,1,38,0,0,91556120,8440440,,27220092,21908764,21129400,21297864,,1225576,2353600,250628,4610636
183,1,39,0,0,95881012,9000096,,27334012,22139792,23207120,23200088,,256428,2113640,3911732,2718296
184,0,37,0,0,96999224,10306488,,26357524,22297192,24003232,24341276,,3594568,1992504,3160684,1558732
185,0,39,0,0,100109052,7198172,,27209668,22509732,25423284,24966368,,2748052,1774816,1738720,936584
186,1,40,0,0,101263172,4165772,,28203532,22729460,26592544,23737636,,1745832,1533844,576408,309688
187,0,40,0,0,96169376,6751904,,28739244,22966936,21761472,22701724,,1217868,1339524,3929692,264820
188,0,42,0,0,99112392,6270812,,29280832,25347728,23466664,21017168,,660492,245460,2225840,3139020
189,0,42,0,0,99959512,7404104,,29652544,23677776,25065912,21563280,,250980,3930968,633144,2589012
190,0,41,0,0,91570628,12212692,,26104804,24938828,18205676,22321320,,3803504,2674704,3907844,1826640
191,0,39,0,0,95432036,8306628,,26647904,26467236,19277456,23039440,,3248848,1128920,2839180,1089680
192,0,39,0,0,95614448,4987160,,27353024,24191128,20708596,23361700,,2540384,260260,1414596,771920
193,0,39,0,0,101163812,5368572,,28293420,24312172,24688468,23869752,,1586988,3230600,274496,276488
194,1,39,0,0,102480716,6178508,,29344372,25709420,24673964,22752960,,559716,1812660,3551560,254572
195,0,40,0,0,97640104,9830892,,25138984,25728536,25416920,21355664,,3806576,264124,2832624,2927568
196,0,38,0,0,96880972,9527724,,26311216,21486732,26470656,22612368,,2634704,3431468,1774320,1687232
197,1,40,0,0,102486848,4027076,,28098888,22948704,27453864,23985392,,855016,1973492,816260,382308
198,0,40,0,0,98943816,4791684,,24571996,24579552,28305592,21486676,,3908424,370804,245812,266644
199,0,39,0,0,91132476,10102528,,25700384,18999224,23575320,22857548,,2796716,3537080,3514816,253916
200,1,41,0,0,96310284,7711568,,27512212,20710136,25051380,23036556,,977000,1829092,2042088,2863388
201,0,42,0,0,96029528,7460668,,24214580,21873852,26327464,23613632,,3938976,660668,776120,2084904
202,0,42,0,0,95401488,7841540,,25506364,18451980,26959036,24484108,,2628516,3747492,246804,1218728
203,3,42,0,0,97334376,4439944,,27804476,20238348,25247196,24044356,,277432,1950368,1953520,258624
204,0,41,0,0,97219184,4840760,,23952244,21283104,26933504,25050332,,3421536,905560,254916,258748
205,1,42,0,0,95912560,6062928,,25889460,24486012,21530800,24006288,,1467936,284604,4056940,253448
206,1,40,1,0,92374684,11715116,,23486636,22135456,22683420,24069172,,3865892,3898536,3694960,255728
207,1,39,0,0,93487148,10683248,,24973416,23368472,24092492,21052768,,2391492,2679816,2295116,3316824
208,0,39,0,0,97453156,6670408,,26429740,24103948,25432768,21486700,,925932,1933428,942056,2868992
209,0,39,0,0,97012416,7373352,,24454592,24728436,25691436,22137952,,3613076,1297664,249480,2213132
210,1,37,0,0,99950896,7856484,,25779440,25391296,26029260,22750900,,2277892,616988,3350828,1610776
211,0,39,0,0,97974164,8412824,,27126892,20708396,26769596,23369280,,919568,3891012,2615620,986624
212,1,38,0,0,96800756,9704180,,24365600,20954848,27812404,23667904,,3842284,3646760,1539108,676028
213,0,38,0,0,100477484,6217688,,25788268,21682560,28738800,24267856,,2430692,2913828,618340,254828
214,1,38,0,0,100724968,6766232,,27358328,22118384,26565272,24682984,,850176,2480536,3171196,264324
215,1,38,0,0,98553224,8277516,,23939868,23097348,27086336,24429672,,3892288,1482076,2645016,258136
216,1,37,0,0,97791688,9154228,,24559360,23817788,27872036,21542504,,3272492,783924,1866724,3231088
217,0,36,0,0,100084320,6869180,,25212688,24233552,29058112,21579968,,2604472,364192,687800,3212716
218,1,36,0,0,95068172,9286148,,25914464,22896640,24604300,21652768,,1908864,230308,4011272,3135704
219,0,36,0,0,95885916,11034276,,26539060,21829492,25775512,21741852,,1286120,3860080,2834548,3053528
220,1,36,0,0,98853116,8071820,,26957948,22810844,27186692,21897632,,876092,2875872,1422452,2897404
221,1,36,0,0,101537356,5364236,,27226260,24057520,28313608,21939968,,612472,1616580,288712,2846472
222,0,36,0,0,101737300,3935264,,27538956,24711740,27136044,22350560,,295688,965196,245048,2429332
223,0,37,0,0,99916540,5489816,,27394028,25257520,24472244,22792748,,239028,430500,2849724,1970564
224,0,38,0,0,93711416,7503524,,27464048,17324252,25505532,23417584,,237652,4055520,1834384,1375968
225,6,39,0,0,95164072,6205032,,25009528,18543868,27026000,24584676,,2886620,2828152,250804,239456
226,1,39,0,0,90191828,7706052,,26508320,19238856,20913472,23531180,,1385468,2142796,3848632,329156
227,0,39,0,0,93202244,5665460,,27477916,19768540,21404836,24550952,,419544,1616328,3360792,268796
228,0,39,0,0,95759376,4250572,,27628224,20306824,22078976,25745352,,237484,1074388,2694984,243716
229,1,38,0,0,90843068,9235380,,25169128,20654244,22953816,22065880,,3488844,720280,1808608,3217648
230,0,38,0,0,95457740,6669664,,25657636,23156256,24045340,22598508,,2994976,250608,723280,2700800
231,1,39,0,0,92540080,5326972,,26103576,19055952,24321784,23058768,,2561764,244868,282872,2237468
232,0,39,0,0,91630772,10891556,,26994228,19041112,21910648,23684784,,1659720,3842332,3769900,1619604
233,0,39,0,0,94317856,8214536,,28177064,19228988,22589588,24322216,,482092,3656836,3091064,984544
234,1,38,0,0,93003604,10232740,,25331592,19363756,23402804,24905452,,4006724,3542964,2293104,389948
235,0,38,0,0,94570920,8052336,,26245568,19584192,24260364,24480796,,3081692,3293660,1422108,254876
236,1,38,0,0,95306680,5929648,,27350932,19909692,24994448,23051608,,1997932,2983096,685524,263096
237,0,38,0,0,98684080,7030108,,28220616,20141252,25103528,25218684,,1114468,2762872,246908,2905860
238,2,38,0,0,98564532,8533940,,28973072,20460532,22975892,26155036,,255760,2440092,3837936,2000152
239,1,37,0,0,96797520,11334640,,26211568,20563064,23231580,26791308,,4103084,2319656,3575232,1336668
240,0,36,0,0,98795932,9318920,,26924904,20870320,23677700,27323008,,3379168,2027900,3123044,788808
241,1,36,0,0,100806824,7332384,,27761948,20973676,24221308,27849892,,2562540,1922236,2575656,271952
242,0,36,0,0,101152572,5805852,,28414936,21334884,24747280,26655472,,1889216,1573572,2062964,280100
243,0,37,0,0,101762024,6758388,,29685800,21561488,25255156,25259580,,649672,1321128,1547872,3239716
244,1,38,0,0,101530788,7083888,,26943992,21974832,26036616,26575348,,3448312,911900,773884,1949792
245,1,39,0,0,103386968,3962252,,28550884,22185776,25281876,27368432,,1840840,710396,249912,1161104
246,1,41,0,0,101746900,1082584,,30004296,21754656,25343944,24644004,,254612,268748,238392,320832
247,0,40,0,0,98222712,7523648,,26870464,23241840,21572188,26538220,,3581644,244268,3400956,296780
248,2,43,0,0,90487720,8484336,,29513076,12843316,23239012,24892316,,936112,2912872,1739320,2896032
249,0,43,0,0,90756596,8165136,,26494100,13754580,24404424,26103492,,3918528,1994248,568072,1684288
250,0,43,0,0,93737268,3905640,,27846440,14985384,23398404,27507040,,2568496,817304,247964,271876
251,0,44,0,0,91598044,4872976,,29353552,14289240,20302336,27652916,,1049736,243192,3338984,241064
252,1,43,0,0,87293876,9955424,,29424532,11818368,21354032,24696944,,281028,3925992,2288688,3459716
253,0,40,0,0,87809656,9540384,,27084440,12483528,22744652,25497036,,2747256,3253860,891208,2648060
254,0,41,0,0,91613884,5492808,,28262932,13858332,23139408,26353212,,1569924,1890036,256468,1776380
255,1,43,0,0,91809096,5087008,,29301240,15421340,19505420,27581096,,530584,294088,3719964,542372
256,0,43,1,0,88341888,10340180,,26250592,13472720,20831628,27786948,,4072380,3607932,2414364,245504
257,0,43,0,0,92204052,5812520,,27466476,15732848,21924316,27080412,,2866196,1350472,1311580,284272
258,0,43,0,0,94942924,6187716,,28608500,17558452,22956980,25818992,,1725384,3931948,263088,267296
259,1,42,0,0,94697256,9942740,,29737032,18793688,21984864,24181672,,604540,2705036,3761428,2871736
260,1,42,0,0,95487244,9253312,,26547580,20526124,23637560,24775980,,3894620,971312,2101588,2285792
261,0,41,0,0,97653160,9731436,,27382952,20228796,24638276,25403136,,3076736,3881776,1101528,1671396
262,1,40,0,0,98692028,9817964,,28494448,21363196,22675592,26158792,,1969568,2758748,4171608,918040
263,0,39,0,0,102419500,6095908,,29727604,22756720,23260124,26675052,,735268,1358344,3579824,422472
264,4,39,0,0,102632744,5210092,,28057324,23193144,26269992,25112284,,2130596,2231568,601516,246412
265,1,39,0,0,103392764,6170336,,29125940,24691024,24075300,25500500,,1075760,763204,4052596,278776
266,1,40,0,0,103489704,7749056,,30082856,21912232,24760692,26733924,,254472,3841576,3385428,267580
