Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
177,4,0,0,0,117025324,2995144,,29895068,29748312,27375596,30006348,,338764,547836,1773928,334616
178,3,0,0,0,117006708,3486716,,29897436,29769544,27308568,30031160,,359308,643592,2165392,318424
179,3,0,0,0,116918784,3584096,,29922928,29529116,27416968,30049772,,310412,870360,2104152,299172
180,2,0,0,0,117119344,3736684,,29931144,29570400,27541940,30075860,,318600,1020732,2129040,268312
181,87,0,0,0,117180936,3576368,,29961200,29586196,27609044,30024496,,313144,980756,1960088,322380
182,47,0,0,0,116956800,3783236,,29915708,29117108,27917168,30006816,,329024,1421320,1697724,335168
183,4,0,0,0,117046280,3692332,,29893972,29133740,28001236,30017332,,360376,1391712,1613376,326868
184,4,0,0,0,117359644,3550488,,29931428,29284308,28099476,30044432,,323064,1372892,1549312,305220
185,2,0,0,0,117207108,3633352,,29952016,29176100,28039728,30039264,,291100,1460936,1576812,304504
186,90,0,0,0,117176752,3597280,,29929536,29081588,28154048,30011580,,304012,1472940,1502356,317972
187,2,0,0,0,117175760,3573644,,29924548,29087876,28148868,30014468,,306116,1467068,1476216,324244
188,2,0,0,0,117061872,3690080,,29905640,29014228,28108256,30033748,,326388,1550680,1500496,312516
189,258,26,0,0,117438588,3382372,,29977392,29138292,28243956,30078948,,254092,1347460,1375208,405612
190,103,0,0,0,117305796,3755280,,29947140,29095556,28230792,30032308,,490200,1442848,1360588,461644
191,26,0,0,0,117215296,3812372,,29925588,29128216,28148440,30013052,,478640,1401528,1462124,470080
192,1,0,0,0,117143640,3887516,,29930016,29115604,28088108,30009912,,481496,1422776,1521368,461876
193,2,0,0,0,117511380,3455892,,29930384,29142532,28365696,30072768,,469664,1336268,1247888,402072
194,32,26,0,0,117568188,3412264,,29997964,29211808,28306020,30052396,,412016,1303860,1286920,409468
195,8,0,0,0,117474300,3497920,,29981372,29146728,28343568,30002632,,460788,1353396,1224128,459608
196,4,0,0,0,117186640,3805152,,29925804,29130916,28129836,30000084,,480736,1379336,1464068,481012
197,2,0,0,0,117251864,3638248,,29928112,29128080,28193572,30002100,,479160,1318240,1363684,477164
198,2,0,0,0,117517336,3479556,,29928032,29176568,28350396,30062340,,467572,1226228,1365352,420404
199,57,26,0,0,117722448,3112264,,29998224,29319100,28345132,30059992,,399856,1096988,1214616,400804
200,53,0,0,0,117703540,3056952,,29972008,29269860,28392092,30069580,,434204,1162056,1067544,393148
201,3,0,0,0,117546444,3217136,,29962964,29259888,28308376,30015216,,445744,1110136,1206780,454476
202,2,0,0,0,117434800,3323640,,29927328,29213752,28281344,30012376,,488496,1181300,1195516,458328
203,3,0,0,0,117494652,3260416,,29912256,29221580,28317096,30043720,,501480,1156836,1153216,448884
204,39,26,0,0,117379000,3143016,,29970424,29198764,28171716,30038096,,413420,1030236,1276632,422728
205,3,0,0,0,117351572,3326568,,29968104,29251492,28116560,30015416,,443984,1099124,1334268,449192
206,2,0,0,0,117382860,3266400,,29925260,29298912,28147168,30011520,,471620,1048476,1298780,447524
207,2,0,0,0,117303460,3363636,,29908848,29272288,28111992,30010332,,482472,1081092,1338496,461576
208,3,0,0,0,117460648,3105076,,29929688,29292592,28156240,30082128,,453164,992308,1257096,402508
209,71,0,0,0,117650744,2974532,,30007996,29295500,28272232,30075016,,421664,1008988,1160204,383676
210,4,0,0,0,117315748,3294012,,29971468,29286996,28019624,30037660,,426184,1025400,1419148,423280
211,3,0,0,0,117302760,3340984,,29930900,29291656,28074352,30005852,,450460,1044264,1381964,464296
212,3,0,0,0,117331628,3304656,,29924996,29319260,28082316,30005056,,472956,1040448,1342776,448476
213,4,0,0,0,117260804,3355016,,29924988,29196576,28130936,30008304,,469192,1109784,1336656,439384
214,103,26,0,0,117527272,3139868,,29980492,29401228,28074464,30071088,,418568,955668,1344924,420708
215,77,0,0,0,117579584,3057036,,29949764,29363288,28234728,30031804,,468064,980728,1166096,442148
216,59,0,0,0,117607892,3004392,,29927716,29378520,28285404,30016252,,472536,934180,1149180,448496
217,3,0,0,0,117536768,2970468,,29920040,29300652,28271256,30044820,,482568,985348,1088016,414536
218,2,0,0,0,117719984,2851480,,29955708,29383892,28320212,30060172,,431864,937332,1086588,395696
219,3,0,0,0,117754008,2832192,,29956320,29434100,28303688,30059900,,441512,893036,1083328,414316
220,79,0,0,0,117680876,2861940,,29963984,29455588,28228204,30033100,,425520,848272,1160076,428072
221,27,0,0,0,117766840,2839912,,29950732,29469844,28285856,30060408,,449268,799112,1186612,404920
222,46,0,0,0,117681704,2850368,,29967004,29397724,28261312,30055664,,429516,911876,1118248,390728
223,2,0,0,0,117863652,2660200,,29951272,29472096,28399500,30040784,,451908,840156,934524,433612
224,18,0,0,0,118038516,2497576,,29969308,29573076,28472744,30023388,,469020,710836,864556,453164
225,3,0,0,0,118005584,2388196,,29924780,29599116,28417104,30064584,,459316,635832,895340,397708
226,80,26,0,0,118315320,1838256,,30015884,29700292,28524096,30075048,,376132,443080,633244,385800
227,101,0,0,0,117824228,3002744,,29965972,29643784,28183032,30031440,,421456,654712,1511192,415384
228,3,0,0,0,117558940,3545256,,29934448,29357952,28239564,30026976,,472424,1222840,1387064,462928
229,3,0,0,0,117808928,3205228,,29936796,29564020,28207656,30100456,,460540,931404,1428464,384820
230,126,0,0,0,117795424,3426280,,29973332,29505932,28286716,30029444,,430392,1168752,1393484,433652
231,2,0,0,0,117513968,3424356,,29927488,29294280,28269956,30022244,,468312,1203340,1323312,429392
232,2,0,0,0,117700308,3182896,,29924276,29420148,28320104,30035780,,454608,1046612,1250188,431488
233,3,0,0,0,117782448,3052368,,29960724,29411920,28351016,30058788,,418712,1017708,1209056,406892
234,173,0,0,0,117739076,3156920,,29968856,29395984,28321340,30052896,,431608,1052952,1254204,418156
